Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-04,0,0,130,505500.0,Enxurradas,2023/2024,47533.7,2023-11-19,21.5,33.82,81.67,74800000,3.84387936132466,14946.777054997045,2875,
2017-06-09,0,0,0,827000.0,Enxurradas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,,268506.4935064935,2875,
2014-07-10,0,0,1430,1756000.0,Enxurradas,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,118.77076411960134,145847.17607973423,2875,
2010-11-26,0,0,0,0.0,Enxurradas,2010/2011,27810.9,2010-04-28,6.14,5.78,6.14,74800000,,,2875,
2009-11-25,0,0,0,0.0,Enxurradas,2009/2010,12279.3,2009-11-24,1.43,1.36,1.3,74800000,,,2875,
2003-01-13,0,0,0,0.0,Enxurradas,2003/2004,14408.0,2003-12-24,1.72,1.62,1.5,74800000,,,2875,
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,24160.0,1998-04-30,3.07,4.06,3.95,74800000,,,2875,
2023-10-04,0,0,130,505500.0,Enxurradas,2023/2024,1292.1,2023-11-18,14.5,10.6,11.79,74610000,12.264150943396228,47688.67924528302,2875,Sim
2017-06-09,0,0,0,827000.0,Enxurradas,2017/2018,1144.8,2017-04-27,5.8,6.71,7.08,74610000,,123248.88226527572,2875,Sim
2014-07-10,0,0,1430,1756000.0,Enxurradas,2014/2015,1936.6,2014-09-30,29.0,78.33,120.52,74610000,18.25609600408528,22417.97523298864,2875,Sim
2010-11-26,0,0,0,0.0,Enxurradas,2010/2011,856.2,2010-12-13,2.9,2.86,2.82,74610000,,,2875,Sim
2009-11-25,0,0,0,0.0,Enxurradas,2009/2010,1053.8,2009-11-23,3.62,5.09,5.22,74610000,,,2875,Sim
2003-01-13,0,0,0,0.0,Enxurradas,2003/2004,397.6,2003-12-13,1.16,1.1,1.1,74610000,,,2875,Sim
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,831.0,1998-09-07,2.42,2.67,2.62,74610000,,,2875,Sim
