Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-04,0,0,128,3850000.0,Chuvas Intensas,2023/2024,966.1,2023-11-18,14.0,18.18,12.13,86480000,7.040704070407041,211771.17711771175,18074,Sim
2016-10-19,0,0,2,30000.0,Alagamentos,2016/2017,880.7,2016-10-19,7.78,10.54,8.37,86480000,0.1897533206831119,2846.2998102466795,18074,Sim
2010-01-04,0,0,7328,0.0,Enxurradas,2010/2011,760.7,2010-09-22,4.12,5.33,5.05,86480000,1374.859287054409,,18074,Sim
1993-09-29,0,0,0,0.0,Inundações,1993/1994,455.4,1993-07-04,1.59,1.6,1.69,86480000,,,18074,Sim
2023-09-04,0,0,128,3850000.0,Chuvas Intensas,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,46.88644688644688,1410256.4102564105,18074,
2016-10-19,0,0,2,30000.0,Alagamentos,2016/2017,1183.3,2016-10-20,6.62,9.97,8.6,86560000,0.2006018054162487,3009.027081243731,18074,
2010-01-04,0,0,7328,0.0,Enxurradas,2010/2011,1020.9,2010-01-05,4.78,5.19,5.06,86560000,1411.946050096339,,18074,
1993-09-29,0,0,0,0.0,Inundações,1993/1994,985.6,1993-07-05,3.91,4.56,4.52,86560000,,,18074,
2023-09-04,0,0,128,3850000.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,15.130023640661936,455082.7423167848,18074,
2016-10-19,0,0,2,30000.0,Alagamentos,2016/2017,7597.1,2016-10-20,3.58,4.16,4.21,86510000,0.4807692307692307,7211.538461538461,18074,
2010-01-04,0,0,7328,0.0,Enxurradas,2010/2011,5326.6,2010-09-23,1.95,1.92,1.98,86510000,3816.666666666667,,18074,
1993-09-29,0,0,0,0.0,Inundações,1993/1994,6241.7,1993-07-05,2.53,2.55,2.63,86510000,,,18074,
2023-09-04,0,0,128,3850000.0,Chuvas Intensas,2023/2024,906.3,2023-07-13,3.31,3.87,3.92,86500000,33.07493540051679,994832.0413436692,18074,
2016-10-19,0,0,2,30000.0,Alagamentos,2016/2017,1036.5,2016-10-19,5.38,5.9,5.98,86500000,0.3389830508474576,5084.745762711864,18074,
2010-01-04,0,0,7328,0.0,Enxurradas,2010/2011,1093.4,2010-09-22,6.62,7.16,7.25,86500000,1023.463687150838,,18074,
1993-09-29,0,0,0,0.0,Inundações,1993/1994,534.0,1993-07-06,1.54,1.46,1.46,86500000,,,18074,
