Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-17,0,0,6512,585500.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,292.8057553956835,26326.438848920865,5220,
2023-09-04,0,0,6512,548000.0,Chuvas Intensas,2023/2024,33747.3,2023-11-18,16.5,22.24,41.31,74100000,292.8057553956835,24640.287769784176,5220,
2010-12-28,0,0,0,0.0,Enxurradas,2010/2011,21617.7,2010-04-27,6.6,5.85,6.29,74100000,,,5220,
2009-12-24,0,0,0,0.0,Enxurradas,2009/2010,20928.6,2009-09-29,4.4,5.4,5.69,74100000,,,5220,
2004-02-27,0,0,0,0.0,Enxurradas,2004/2005,8602.6,2004-09-29,1.35,1.38,1.32,74100000,,,5220,
2003-10-27,0,0,0,0.0,Enxurradas,2003/2004,8032.0,2003-12-23,1.32,1.32,1.27,74100000,,,5220,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,34898.4,1992-05-29,22.0,25.07,49.63,74100000,,,5220,
2023-11-17,0,0,6512,585500.0,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,213.92904073587383,19234.55978975033,5220,Sim
2023-09-04,0,0,6512,548000.0,Chuvas Intensas,2023/2024,1440.1,2023-11-17,23.0,30.44,15.82,72630000,213.92904073587383,18002.62812089356,5220,Sim
2010-12-28,0,0,0,0.0,Enxurradas,2010/2011,954.3,2010-09-23,3.14,2.88,3.04,72630000,,,5220,Sim
2009-12-24,0,0,0,0.0,Enxurradas,2009/2010,877.2,2009-09-13,2.16,2.25,2.43,72630000,,,5220,Sim
2004-02-27,0,0,0,0.0,Enxurradas,2004/2005,348.4,2004-09-29,1.05,1.04,1.02,72630000,,,5220,Sim
2003-10-27,0,0,0,0.0,Enxurradas,2003/2004,578.0,2003-02-21,1.21,1.22,1.25,72630000,,,5220,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,713.8,1992-07-02,1.5,1.51,1.61,72630000,,,5220,Sim
