Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2015-12-30,0,0,1350,50302.0,Enxurradas,2015/2016,19662.9,2015-07-18,4.0,4.56,4.49,75550000,296.0526315789474,11031.140350877196,1931
2014-10-16,0,0,8,887500.0,Enxurradas,2014/2015,25490.1,2014-06-30,10.67,14.69,11.51,75550000,0.5445881552076243,60415.24846834582,1931
2010-11-26,0,0,0,0.0,Enxurradas,2010/2011,15314.9,2010-04-29,2.46,2.3,2.4,75550000,,,1931
2009-11-26,0,0,0,0.0,Enxurradas,2009/2010,13304.4,2009-09-15,1.88,1.79,1.87,75550000,,,1931
2003-04-29,0,0,0,86300.0,Enxurradas,2003/2004,,,,,,75550000,,,1931
2015-12-30,0,0,1350,50302.0,Enxurradas,2015/2016,241.1,2015-12-15,4.47,4.67,4.4,74880000,289.07922912205566,10771.306209850109,1931
2014-10-16,0,0,8,887500.0,Enxurradas,2014/2015,272.1,2014-10-01,7.73,9.7,7.35,74880000,0.8247422680412372,91494.84536082477,1931
2010-11-26,0,0,0,0.0,Enxurradas,2010/2011,173.3,2010-12-13,1.49,1.59,1.7,74880000,,,1931
2009-11-26,0,0,0,0.0,Enxurradas,2009/2010,241.1,2009-11-23,4.72,4.67,4.4,74880000,,,1931
2003-04-29,0,0,0,86300.0,Enxurradas,2003/2004,274.3,2003-12-16,9.44,10.27,7.63,74880000,,8403.115871470301,1931
