Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2015-10-09,0,0,261,513303.0,Enxurradas,2015/2016,4360.6,2015-12-27,45.0,166.48,17.02,85642000,1.567755886592984,3083.271263815473,2365,Sim
2014-07-07,0,0,140,610000.0,Enxurradas,2014/2015,2831.0,2014-07-27,2.5,2.63,2.69,85642000,53.231939163498105,231939.16349809887,2365,Sim
2013-11-14,0,0,82,305600.0,Enxurradas,2013/2014,2748.4,2013-11-15,2.14,2.35,2.47,85642000,34.8936170212766,130042.55319148937,2365,Sim
2010-11-23,0,0,0,0.0,Enxurradas,2010/2011,2926.0,2010-01-08,3.21,3.04,2.97,85642000,,,2365,Sim
2009-11-22,0,0,0,5490000.0,Enxurradas,2009/2010,3127.3,2009-11-25,7.5,4.31,3.72,85642000,,1273781.9025522042,2365,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,2667.2,2001-10-04,1.67,2.12,2.27,85642000,,,2365,Sim
2001-01-08,0,0,0,0.0,Enxurradas,2001/2002,2667.2,2001-10-04,1.67,2.12,2.27,85642000,,,2365,Sim
1994-05-30,0,0,0,0.0,Enxurradas,1994/1995,2704.8,1994-10-22,1.88,2.22,2.36,85642000,,,2365,Sim
2015-10-09,0,0,261,513303.0,Enxurradas,2015/2016,338.3,2015-10-10,20.0,79.7,62.15,85438000,3.274780426599749,6440.4391468005015,2365,
2014-07-07,0,0,140,610000.0,Enxurradas,2014/2015,241.6,2014-06-30,13.33,11.64,11.02,85438000,12.027491408934708,52405.49828178694,2365,
2013-11-14,0,0,82,305600.0,Enxurradas,2013/2014,183.2,2013-11-13,4.0,4.12,4.13,85438000,19.902912621359224,74174.7572815534,2365,
2010-11-23,0,0,0,0.0,Enxurradas,2010/2011,396.2,2010-01-20,40.0,263.27,178.32,85438000,,,2365,
2009-11-22,0,0,0,5490000.0,Enxurradas,2009/2010,216.4,2009-11-24,8.0,7.3,7.14,85438000,,752054.794520548,2365,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,150.9,2001-07-21,2.86,2.51,2.54,85438000,,,2365,
2001-01-08,0,0,0,0.0,Enxurradas,2001/2002,150.9,2001-07-21,2.86,2.51,2.54,85438000,,,2365,
1994-05-30,0,0,0,0.0,Enxurradas,1994/1995,126.9,1994-07-09,2.0,1.84,1.85,85438000,,,2365,
