Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2017-06-09,0,0,1523,5953750.0,Enxurradas,2017/2018,4572.8,2017-06-04,2.93,3.28,3.37,85900000,464.32926829268297,1815167.6829268292,10152
2017-05-30,0,0,651,806453.0,Enxurradas,2017/2018,4572.8,2017-06-04,2.93,3.28,3.37,85900000,198.4756097560976,245869.81707317077,10152
2010-12-18,0,0,0,0.0,Inundações,2010/2011,4912.9,2010-01-11,3.59,4.24,4.22,85900000,,,10152
2010-01-04,0,0,7103,0.0,Enxurradas,2010/2011,4912.9,2010-01-11,3.59,4.24,4.22,85900000,1675.2358490566037,,10152
2009-12-16,0,0,3837,4174100.0,Inundações,2009/2010,5872.9,2009-11-26,13.17,9.78,8.32,85900000,392.3312883435583,426799.591002045,10152
2003-07-08,0,0,187,1914610.0,Enxurradas,2003/2004,4176.1,2003-12-21,2.26,2.51,2.63,85900000,74.50199203187252,762792.828685259,10152
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,4162.7,2001-10-06,2.19,2.48,2.61,85900000,,,10152
2017-06-09,0,0,1523,5953750.0,Enxurradas,2017/2018,239.5,2017-06-08,24.0,20.99,5.25,85830000,72.55836112434493,283646.9747498809,10152
2017-05-30,0,0,651,806453.0,Enxurradas,2017/2018,239.5,2017-06-08,24.0,20.99,5.25,85830000,31.01476893758933,38420.81943782754,10152
2010-12-18,0,0,0,0.0,Inundações,2010/2011,174.8,2010-01-05,4.36,2.3,2.22,85830000,,,10152
2010-01-04,0,0,7103,0.0,Enxurradas,2010/2011,174.8,2010-01-05,4.36,2.3,2.22,85830000,3088.260869565217,,10152
2009-12-16,0,0,3837,4174100.0,Inundações,2009/2010,171.7,2009-08-09,3.2,2.16,2.14,85830000,1776.3888888888887,1932453.703703704,10152
2003-07-08,0,0,187,1914610.0,Enxurradas,2003/2004,171.7,2003-07-09,3.0,2.16,2.14,85830000,86.57407407407406,886393.5185185184,10152
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,169.2,2001-10-01,2.53,2.06,2.08,85830000,,,10152
