Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-22,0,0,14285,149044.0,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,2437.7133105802045,25434.129692832765,15041
2022-01-25,0,0,0,15000.0,Chuvas Intensas,2022/2023,2058.4,2022-06-23,1.45,1.63,1.81,85400000,,9202.45398773006,15041
2021-06-07,0,0,4,20000.0,Chuvas Intensas,2021/2022,1215.0,2021-06-27,1.12,1.08,1.1,85400000,3.7037037037037033,18518.51851851852,15041
2018-09-25,0,0,3,5000.0,Chuvas Intensas,2018/2019,2116.4,2018-11-25,1.53,1.71,1.9,85400000,1.7543859649122808,2923.9766081871344,15041
2015-10-09,0,0,1231,1418017.0,Chuvas Intensas,2015/2016,3075.6,2015-12-25,17.4,7.35,5.24,85400000,167.48299319727892,192927.48299319728,15041
2013-11-12,0,0,64,8000.0,Alagamentos,2013/2014,2161.6,2013-11-12,1.64,1.79,1.98,85400000,35.75418994413408,4469.27374301676,15041
2010-11-23,0,0,0,0.0,Inundações,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,,,15041
2010-01-04,0,0,5845,186000.0,Inundações,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,709.3446601941747,22572.81553398058,15041
2009-11-23,0,0,0,0.0,Inundações,2009/2010,2497.5,2009-09-28,2.12,2.64,2.74,85400000,,,15041
2003-07-08,0,29,491,0.0,Enxurradas,2003/2004,3011.0,2003-12-16,14.5,6.4,4.85,85400000,76.71875,,15041
2002-12-11,0,0,0,318000.0,Inundações,2002/2003,2526.1,2002-10-09,2.23,2.75,2.83,85400000,,115636.36363636365,15041
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,2575.4,2001-10-01,2.42,2.95,2.98,85400000,,,15041
1995-03-01,0,0,0,0.0,Enxurradas,1995/1996,2161.6,1995-07-30,1.61,1.79,1.98,85400000,,,15041
