Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-17,0,0,30065,2234711.26,Chuvas Intensas,2023/2024,395.4,2023-10-17,1.66,1.69,1.67,86745000,17789.940828402367,1322314.3550295858,31067
2020-07-22,0,0,27435,1936385.0,Enxurradas,2020/2021,680.0,2020-07-08,5.67,5.28,5.49,86745000,5196.022727272727,366739.5833333333,31067
2019-11-07,0,0,30000,2038772.53,Enxurradas,2019/2020,305.7,2019-11-05,1.33,1.31,1.3,86745000,22900.763358778622,1556314.9083969465,31067
2019-05-31,0,0,5200,0.0,Enxurradas,2019/2020,305.7,2019-11-05,1.33,1.31,1.3,86745000,3969.4656488549617,,31067
2018-10-03,0,0,2500,0.0,Enxurradas,2018/2019,286.5,2018-09-02,1.21,1.26,1.24,86745000,1984.126984126984,,31067
2017-05-31,0,0,3500,97385.0,Enxurradas,2017/2018,585.6,2017-06-08,4.0,3.47,3.54,86745000,1008.6455331412104,28064.841498559075,31067
2014-07-07,0,0,3200,3922681.7,Chuvas Intensas,2014/2015,363.5,2014-10-18,1.48,1.53,1.51,86745000,2091.503267973856,2563844.248366013,31067
2013-09-05,0,0,980,2331206.65,Enxurradas,2013/2014,363.5,2013-08-25,1.51,1.53,1.51,86745000,640.5228758169934,1523664.477124183,31067
2013-06-07,0,0,204,500.76,Enxurradas,2013/2014,363.5,2013-08-25,1.51,1.53,1.51,86745000,133.33333333333334,327.29411764705884,31067
2011-08-02,0,0,0,0.0,Enxurradas,2011/2012,421.2,2011-07-21,1.89,1.84,1.82,86745000,,,31067
2011-03-28,0,0,0,0.0,Enxurradas,2011/2012,421.2,2011-07-21,1.89,1.84,1.82,86745000,,,31067
2010-01-04,0,0,8188,0.0,Enxurradas,2010/2011,1292.3,2010-01-04,68.0,106.28,129.32,86745000,77.04177643959352,,31067
2009-11-22,0,0,0,372000.0,Enxurradas,2009/2010,508.4,2009-08-10,2.72,2.53,2.54,86745000,,147035.57312252966,31067
2008-11-06,0,0,0,0.0,Enxurradas,2008/2009,619.8,2008-10-26,5.23,4.03,4.14,86745000,,,31067
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1257.8,2001-07-20,34.0,89.56,107.74,86745000,,,31067
1996-04-08,0,0,0,0.0,Enxurradas,1996/1997,387.1,1996-10-25,1.58,1.64,1.63,86745000,,,31067
2023-10-17,0,0,30065,2234711.26,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,2196.128560993426,163236.76113951788,31067
2020-07-22,0,0,27435,1936385.0,Enxurradas,2020/2021,14003.0,2020-07-08,69.0,21.5,22.19,86720000,1276.046511627907,90064.41860465116,31067
2019-11-07,0,0,30000,2038772.53,Enxurradas,2019/2020,6235.2,2019-11-05,1.97,1.95,1.95,86720000,15384.615384615385,1045524.3743589744,31067
2019-05-31,0,0,5200,0.0,Enxurradas,2019/2020,6235.2,2019-11-05,1.97,1.95,1.95,86720000,2666.6666666666665,,31067
2018-10-03,0,0,2500,0.0,Enxurradas,2018/2019,4648.4,2018-10-04,1.38,1.4,1.39,86720000,1785.7142857142858,,31067
2017-05-31,0,0,3500,97385.0,Enxurradas,2017/2018,5706.1,2017-06-08,1.77,1.73,1.72,86720000,2023.121387283237,56291.90751445087,31067
2014-07-07,0,0,3200,3922681.7,Chuvas Intensas,2014/2015,6011.1,2014-10-19,1.86,1.85,1.85,86720000,1729.7297297297296,2120368.4864864866,31067
2013-09-05,0,0,980,2331206.65,Enxurradas,2013/2014,9120.5,2013-08-25,3.29,4.32,4.37,86720000,226.85185185185185,539631.1689814815,31067
2013-06-07,0,0,204,500.76,Enxurradas,2013/2014,9120.5,2013-08-25,3.29,4.32,4.37,86720000,47.22222222222222,115.91666666666666,31067
2011-08-02,0,0,0,0.0,Enxurradas,2011/2012,13323.5,2011-07-21,34.5,17.05,17.56,86720000,,,31067
2011-03-28,0,0,0,0.0,Enxurradas,2011/2012,13323.5,2011-07-21,34.5,17.05,17.56,86720000,,,31067
2010-01-04,0,0,8188,0.0,Enxurradas,2010/2011,6296.1,2010-09-23,2.09,1.98,1.98,86720000,4135.353535353535,,31067
2009-11-22,0,0,0,372000.0,Enxurradas,2009/2010,9342.3,2009-09-12,3.45,4.63,4.69,86720000,,80345.57235421166,31067
2008-11-06,0,0,0,0.0,Enxurradas,2008/2009,12193.7,2008-10-26,7.67,11.64,11.94,86720000,,,31067
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86720000,,,31067
1996-04-08,0,0,0,0.0,Enxurradas,1996/1997,3647.4,1996-09-01,1.21,1.2,1.2,86720000,,,31067
2023-10-17,0,0,30065,2234711.26,Chuvas Intensas,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,11012.820512820514,818575.5531135531,31067
2020-07-22,0,0,27435,1936385.0,Enxurradas,2020/2021,1547.9,2020-07-08,86.0,55.63,30.08,86560000,493.1691533345317,34808.28689555995,31067
2019-11-07,0,0,30000,2038772.53,Enxurradas,2019/2020,879.4,2019-11-05,3.31,3.17,3.27,86560000,9463.72239747634,643145.9085173502,31067
2019-05-31,0,0,5200,0.0,Enxurradas,2019/2020,879.4,2019-11-05,3.31,3.17,3.27,86560000,1640.378548895899,,31067
2018-10-03,0,0,2500,0.0,Enxurradas,2018/2019,451.1,2018-07-26,1.26,1.22,1.23,86560000,2049.1803278688526,,31067
2017-05-31,0,0,3500,97385.0,Enxurradas,2017/2018,1252.0,2017-06-08,10.75,13.46,10.83,86560000,260.0297176820208,7235.141158989599,31067
2014-07-07,0,0,3200,3922681.7,Chuvas Intensas,2014/2015,776.8,2014-10-19,2.26,2.33,2.45,86560000,1373.390557939914,1683554.3776824034,31067
2013-09-05,0,0,980,2331206.65,Enxurradas,2013/2014,785.1,2013-08-25,2.39,2.38,2.5,86560000,411.764705882353,979498.5924369748,31067
2013-06-07,0,0,204,500.76,Enxurradas,2013/2014,785.1,2013-08-25,2.39,2.38,2.5,86560000,85.71428571428572,210.4033613445378,31067
2011-08-02,0,0,0,0.0,Enxurradas,2011/2012,538.3,2011-03-28,1.43,1.37,1.41,86560000,,,31067
2011-03-28,0,0,0,0.0,Enxurradas,2011/2012,538.3,2011-03-28,1.43,1.37,1.41,86560000,,,31067
2010-01-04,0,0,8188,0.0,Enxurradas,2010/2011,1020.9,2010-01-05,4.78,5.19,5.06,86560000,1577.649325626204,,31067
2009-11-22,0,0,0,372000.0,Enxurradas,2009/2010,950.8,2009-09-12,3.74,4.02,4.06,86560000,,92537.31343283584,31067
2008-11-06,0,0,0,0.0,Enxurradas,2008/2009,926.2,2008-11-02,3.58,3.7,3.77,86560000,,,31067
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1283.4,2001-10-01,14.33,15.5,12.05,86560000,,,31067
1996-04-08,0,0,0,0.0,Enxurradas,1996/1997,810.1,1996-08-31,2.69,2.56,2.68,86560000,,,31067
2023-10-17,0,0,30065,2234711.26,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,5130.546075085324,381350.0443686007,31067
2020-07-22,0,0,27435,1936385.0,Enxurradas,2020/2021,2291.6,2020-07-08,1.81,2.05,2.23,85400000,13382.926829268294,944578.048780488,31067
2019-11-07,0,0,30000,2038772.53,Enxurradas,2019/2020,2518.2,2019-10-31,2.17,2.72,2.8,85400000,11029.41176470588,749548.7242647058,31067
2019-05-31,0,0,5200,0.0,Enxurradas,2019/2020,2518.2,2019-10-31,2.17,2.72,2.8,85400000,1911.7647058823527,,31067
2018-10-03,0,0,2500,0.0,Enxurradas,2018/2019,2116.4,2018-11-25,1.53,1.71,1.9,85400000,1461.9883040935672,,31067
2017-05-31,0,0,3500,97385.0,Enxurradas,2017/2018,2988.9,2017-05-28,12.43,6.12,4.73,85400000,571.8954248366013,15912.581699346403,31067
2014-07-07,0,0,3200,3922681.7,Chuvas Intensas,2014/2015,2708.9,2014-07-25,3.35,3.64,3.44,85400000,879.1208791208791,1077659.8076923075,31067
2013-09-05,0,0,980,2331206.65,Enxurradas,2013/2014,2161.6,2013-11-12,1.64,1.79,1.98,85400000,547.4860335195531,1302350.0837988826,31067
2013-06-07,0,0,204,500.76,Enxurradas,2013/2014,2161.6,2013-11-12,1.64,1.79,1.98,85400000,113.96648044692738,279.75418994413405,31067
2011-08-02,0,0,0,0.0,Enxurradas,2011/2012,2751.2,2011-08-10,3.62,3.91,3.61,85400000,,,31067
2011-03-28,0,0,0,0.0,Enxurradas,2011/2012,2751.2,2011-08-10,3.62,3.91,3.61,85400000,,,31067
2010-01-04,0,0,8188,0.0,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,993.6893203883496,,31067
2009-11-22,0,0,0,372000.0,Enxurradas,2009/2010,2497.5,2009-09-28,2.12,2.64,2.74,85400000,,140909.0909090909,31067
2008-11-06,0,0,0,0.0,Enxurradas,2008/2009,2123.5,2008-10-27,1.55,1.73,1.91,85400000,,,31067
