Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2018-10-09,0,0,200,300000.0,Enxurradas,2018/2019,7348.2,2018-10-19,1.2,1.24,1.22,74100000,161.29032258064515,241935.48387096776,24973,
2017-06-07,0,0,2000,2686747.0,Enxurradas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,408.997955010225,549437.0143149284,24973,
2016-10-18,0,3,445,539000.0,Chuvas Intensas,2016/2017,4777.9,2016-02-01,1.12,1.06,1.08,74100000,419.811320754717,508490.56603773584,24973,
2011-03-28,0,0,0,0.0,Enxurradas,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,,24973,
2000-07-02,0,0,0,0.0,Inundações,2000/2001,16446.9,2000-10-14,3.0,3.21,3.04,74100000,,,24973,
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,24973,
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,24973,
1992-06-02,0,0,0,0.0,Enxurradas,1992/1993,34898.4,1992-05-29,22.0,25.07,49.63,74100000,,,24973,
2018-10-09,0,0,200,300000.0,Enxurradas,2018/2019,700.6,2018-09-03,1.44,1.47,1.56,72630000,136.0544217687075,204081.63265306124,24973,Sim
2017-06-07,0,0,2000,2686747.0,Enxurradas,2017/2018,949.7,2017-05-31,3.0,2.83,3.0,72630000,706.7137809187279,949380.5653710248,24973,Sim
2016-10-18,0,3,445,539000.0,Chuvas Intensas,2016/2017,1222.8,2016-10-20,9.86,9.01,7.34,72630000,49.38956714761376,59822.41953385128,24973,Sim
2011-03-28,0,0,0,0.0,Enxurradas,2011/2012,1119.6,2011-07-21,4.6,5.52,5.16,72630000,,,24973,Sim
2000-07-02,0,0,0,0.0,Inundações,2000/2001,804.8,2000-10-14,1.86,1.84,2.0,72630000,,,24973,Sim
1993-12-08,0,0,0,0.0,Enxurradas,1993/1994,1319.5,1993-07-04,13.8,15.03,10.29,72630000,,,24973,Sim
1993-07-06,0,0,0,0.0,Enxurradas,1993/1994,1319.5,1993-07-04,13.8,15.03,10.29,72630000,,,24973,Sim
1992-06-02,0,0,0,0.0,Enxurradas,1992/1993,713.8,1992-07-02,1.5,1.51,1.61,72630000,,,24973,Sim
