Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-20,0,0,18532,4962705.12,Inundações,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,329.985754985755,88367.25641025642,57740,Sim
2023-10-02,0,0,3500,3575782.0,Inundações,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,62.32193732193733,63671.33190883191,57740,Sim
2023-09-25,0,0,9499,6569000.0,Inundações+Inundações,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,169.1417378917379,116969.37321937324,57740,Sim
2023-06-20,0,0,16140,7046000.0,Inundações,2023/2024,591.0,2023-06-17,30.0,56.16,12.51,87374000,287.3931623931624,125462.96296296296,57740,Sim
2015-07-24,0,0,423,1260457.0,Inundações,2015/2016,504.1,2015-07-21,7.5,9.83,5.96,87374000,43.03153611393693,128225.53407934892,57740,Sim
2013-08-30,0,0,1000,500000.0,Enxurradas,2013/2014,540.8,2013-08-27,10.0,19.08,8.11,87374000,52.41090146750525,26205.450733752623,57740,Sim
2011-07-20,0,0,7949,48000.0,Inundações,2011/2012,406.3,2011-07-21,3.33,2.72,2.77,87374000,2922.426470588235,17647.05882352941,57740,Sim
2009-11-13,0,0,55509,0.0,Enxurradas,2009/2010,481.0,2009-09-13,6.0,6.82,4.93,87374000,8139.149560117302,,57740,Sim
2009-09-27,0,0,63,1095000.0,Inundações,2009/2010,481.0,2009-09-13,6.0,6.82,4.93,87374000,9.237536656891496,160557.18475073314,57740,Sim
2001-07-21,0,0,0,0.0,Enxurradas,2001/2002,361.1,2001-07-21,2.0,1.86,2.04,87374000,,,57740,Sim
2023-11-20,0,0,18532,4962705.12,Inundações,2023/2024,,,,,,87401600,,,57740,
2023-10-02,0,0,3500,3575782.0,Inundações,2023/2024,,,,,,87401600,,,57740,
2023-09-25,0,0,9499,6569000.0,Inundações+Inundações,2023/2024,,,,,,87401600,,,57740,
2023-06-20,0,0,16140,7046000.0,Inundações,2023/2024,,,,,,87401600,,,57740,
2015-07-24,0,0,423,1260457.0,Inundações,2015/2016,4.5,2015-11-28,1.1,1.04,1.05,87401600,406.7307692307692,1211977.8846153845,57740,
2013-08-30,0,0,1000,500000.0,Enxurradas,2013/2014,18.6,2013-08-30,22.0,62.52,11.83,87401600,15.99488163787588,7997.440818937939,57740,
2011-07-20,0,0,7949,48000.0,Inundações,2011/2012,12.6,2011-04-24,3.14,3.22,3.07,87401600,2468.6335403726707,14906.832298136644,57740,
2009-11-13,0,0,55509,0.0,Enxurradas,2009/2010,13.0,2009-08-10,4.4,3.66,3.33,87401600,15166.39344262295,,57740,
2009-09-27,0,0,63,1095000.0,Inundações,2009/2010,13.0,2009-08-10,4.4,3.66,3.33,87401600,17.21311475409836,299180.3278688525,57740,
2001-07-21,0,0,0,0.0,Enxurradas,2001/2002,5.1,2001-09-27,1.16,1.06,1.08,87401600,,,57740,
