Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-20,0,0,2970,900000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,1017.1232876712328,308219.1780821918,3081,
2017-06-09,0,0,1806,78512.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,649.6402877697842,28241.72661870504,3081,
2014-07-16,0,0,952,0.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,308.09061488673143,,3081,
2010-12-18,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,3081,
2009-12-16,0,0,0,0.0,Enxurradas,2009/2010,,,,,,74500000,,,3081,
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,,,,,,74500000,,,3081,
2023-10-20,0,0,2970,900000.0,Chuvas Intensas,2023/2024,680.5,2023-11-17,3.44,3.71,3.77,74370000,800.5390835579515,242587.60107816712,3081,Sim
2017-06-09,0,0,1806,78512.0,Enxurradas,2017/2018,896.5,2017-06-08,6.89,11.78,11.19,74370000,153.3106960950764,6664.855687606112,3081,Sim
2014-07-16,0,0,952,0.0,Enxurradas,2014/2015,1159.6,2014-06-25,62.0,57.34,46.0,74370000,16.602720613882106,,3081,Sim
2010-12-18,0,0,0,0.0,Enxurradas,2010/2011,678.1,2010-05-18,3.1,3.67,3.73,74370000,,,3081,Sim
2009-12-16,0,0,0,0.0,Enxurradas,2009/2010,641.5,2009-11-22,2.7,3.09,3.15,74370000,,,3081,Sim
1998-09-18,0,0,0,0.0,Enxurradas,1998/1999,909.0,1998-05-14,12.4,12.66,11.95,74370000,,,3081,Sim
