Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-20,0,0,14497,1970000.0,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,4964.726027397261,674657.5342465753,13385,
2018-01-23,0,0,2000,5000.0,Chuvas Intensas,2018/2019,9050.3,2018-10-19,1.7,2.38,1.35,74500000,840.3361344537816,2100.840336134454,13385,
2017-05-31,0,0,0,0.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,,,13385,
2017-05-22,0,0,4100,611940.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,1474.820143884892,220122.3021582734,13385,
2014-10-09,0,0,0,1300000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,,420711.9741100324,13385,
2014-07-08,0,0,6060,2800000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,1961.1650485436892,906148.867313916,13385,
2011-06-22,0,0,5096,8169.99,Enxurradas,2011/2012,,,,,,74500000,,,13385,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,,,,,,74500000,,,13385,
2023-10-20,0,0,14497,1970000.0,Chuvas Intensas,2023/2024,476.2,2023-11-17,3.26,3.23,3.25,74470000,4488.235294117647,609907.1207430341,13385,
2018-01-23,0,0,2000,5000.0,Chuvas Intensas,2018/2019,397.2,2018-10-18,2.21,2.17,2.18,74470000,921.6589861751152,2304.147465437788,13385,
2017-05-31,0,0,0,0.0,Enxurradas,2017/2018,759.3,2017-06-08,15.5,17.72,17.82,74470000,,,13385,
2017-05-22,0,0,4100,611940.0,Enxurradas,2017/2018,759.3,2017-06-08,15.5,17.72,17.82,74470000,231.37697516930024,34533.86004514673,13385,
2014-10-09,0,0,0,1300000.0,Enxurradas,2014/2015,841.5,2014-10-01,31.0,30.12,30.12,74470000,,43160.690571049134,13385,
2014-07-08,0,0,6060,2800000.0,Enxurradas,2014/2015,841.5,2014-10-01,31.0,30.12,30.12,74470000,201.195219123506,92961.48738379814,13385,
2011-06-22,0,0,5096,8169.99,Enxurradas,2011/2012,645.7,2011-07-21,8.86,8.66,8.75,74470000,588.4526558891455,943.4168591224018,13385,
1992-06-02,0,0,0,0.0,Inundações,1992/1993,405.6,1992-05-28,2.38,2.26,2.27,74470000,,,13385,
2023-10-20,0,0,14497,1970000.0,Chuvas Intensas,2023/2024,680.5,2023-11-17,3.44,3.71,3.77,74370000,3907.5471698113206,530997.3045822103,13385,Sim
2018-01-23,0,0,2000,5000.0,Chuvas Intensas,2018/2019,442.7,2018-11-01,1.48,1.46,1.47,74370000,1369.86301369863,3424.657534246576,13385,Sim
2017-05-31,0,0,0,0.0,Enxurradas,2017/2018,896.5,2017-06-08,6.89,11.78,11.19,74370000,,,13385,Sim
2017-05-22,0,0,4100,611940.0,Enxurradas,2017/2018,896.5,2017-06-08,6.89,11.78,11.19,74370000,348.0475382003396,51947.36842105263,13385,Sim
2014-10-09,0,0,0,1300000.0,Enxurradas,2014/2015,1159.6,2014-06-25,62.0,57.34,46.0,74370000,,22671.78235088943,13385,Sim
2014-07-08,0,0,6060,2800000.0,Enxurradas,2014/2015,1159.6,2014-06-25,62.0,57.34,46.0,74370000,105.68538542029997,48831.53121730031,13385,Sim
2011-06-22,0,0,5096,8169.99,Enxurradas,2011/2012,850.7,2011-06-23,6.2,9.08,8.81,74370000,561.2334801762114,899.7786343612335,13385,Sim
1992-06-02,0,0,0,0.0,Inundações,1992/1993,960.9,1992-05-28,20.67,17.14,15.73,74370000,,,13385,Sim
