Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2017-06-12,0,0,2200,712778.0,Chuvas Intensas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,415.0943396226416,134486.41509433964,4232
2015-12-23,0,0,2291,1830317.0,Chuvas Intensas,2015/2016,4426.1,2015-12-15,14.17,21.99,26.35,74270000,104.1837198726694,83234.06093678945,4232
2014-07-14,0,0,1020,3651331.6,Chuvas Intensas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,41.92355117139334,150075.2815454172,4232
2014-04-16,0,0,2247,2066036.9,Chuvas Intensas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,92.35511713933415,84917.25852856557,4232
1992-06-10,0,0,0,0.0,Enxurradas,1992/1993,6038.2,1992-05-29,85.0,105.3,160.11,74270000,,,4232
1992-06-02,0,0,0,0.0,Inundações,1992/1993,6038.2,1992-05-29,85.0,105.3,160.11,74270000,,,4232
2017-06-12,0,0,2200,712778.0,Chuvas Intensas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,449.89775051124747,145762.37218813907,4232
2015-12-23,0,0,2291,1830317.0,Chuvas Intensas,2015/2016,18588.7,2015-07-15,3.3,4.12,4.07,74100000,556.0679611650485,444251.6990291262,4232
2014-07-14,0,0,1020,3651331.6,Chuvas Intensas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,93.15068493150686,333454.9406392694,4232
2014-04-16,0,0,2247,2066036.9,Chuvas Intensas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,205.2054794520548,188679.1689497717,4232
1992-06-10,0,0,0,0.0,Enxurradas,1992/1993,34898.4,1992-05-29,22.0,25.07,49.63,74100000,,,4232
1992-06-02,0,0,0,0.0,Inundações,1992/1993,34898.4,1992-05-29,22.0,25.07,49.63,74100000,,,4232
