Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-19,0,0,25436,812212.9,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,8710.95890410959,278155.102739726,23799,
2017-05-31,0,0,4090,410671.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,1471.223021582734,147723.38129496403,23799,
2014-07-03,0,0,4920,1622009.1,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,1592.233009708738,524922.0388349515,23799,
2010-11-25,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,23799,
2009-11-25,0,0,9764,3378000.0,Enxurradas,2009/2010,,,,,,74500000,,,23799,
1992-07-15,0,0,0,0.0,Inundações,1992/1993,,,,,,74500000,,,23799,
2023-10-19,0,0,25436,812212.9,Chuvas Intensas,2023/2024,476.2,2023-11-17,3.26,3.23,3.25,74470000,7874.922600619195,251459.10216718263,23799,Sim
2017-05-31,0,0,4090,410671.0,Enxurradas,2017/2018,759.3,2017-06-08,15.5,17.72,17.82,74470000,230.81264108352147,23175.56433408578,23799,Sim
2014-07-03,0,0,4920,1622009.1,Enxurradas,2014/2015,841.5,2014-10-01,31.0,30.12,30.12,74470000,163.34661354581672,53851.56374501992,23799,Sim
2010-11-25,0,0,0,0.0,Enxurradas,2010/2011,395.6,2010-05-18,2.14,2.16,2.16,74470000,,,23799,Sim
2009-11-25,0,0,9764,3378000.0,Enxurradas,2009/2010,587.8,2009-11-22,5.17,6.1,6.16,74470000,1600.6557377049182,553770.4918032787,23799,Sim
1992-07-15,0,0,0,0.0,Inundações,1992/1993,405.6,1992-05-28,2.38,2.26,2.27,74470000,,,23799,Sim
