Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-03,0,0,1300,454500.0,Chuvas Intensas,2023/2024,47533.7,2023-11-19,21.5,33.82,81.67,74800000,38.4387936132466,13438.7936132466,23846
2016-02-03,0,0,210,410000.0,Chuvas Intensas,2016/2017,8990.0,2016-03-26,1.19,1.11,1.11,74800000,189.1891891891892,369369.36936936935,23846
2015-01-22,0,1,1,30316.0,Chuvas Intensas,2015/2016,21891.0,2015-07-16,2.69,3.26,3.05,74800000,0.3067484662576687,9299.386503067486,23846
2014-07-10,0,0,7170,0.0,Enxurradas,2014/2015,35648.3,2014-06-29,14.33,12.04,16.74,74800000,595.514950166113,,23846
1994-05-30,0,0,0,0.0,Enxurradas,1994/1995,18737.5,1994-07-07,2.05,2.4,2.2,74800000,,,23846
1993-11-16,0,0,0,0.0,Enxurradas,1993/1994,26346.6,1993-07-07,5.38,5.02,5.13,74800000,,,23846
2023-11-03,0,0,1300,454500.0,Chuvas Intensas,2023/2024,431.8,2023-11-21,17.0,11.12,7.27,74700000,116.9064748201439,40872.302158273385,23846
2016-02-03,0,0,210,410000.0,Chuvas Intensas,2016/2017,335.1,2016-04-26,3.04,3.2,3.32,74700000,65.625,128125.0,23846
2015-01-22,0,1,1,30316.0,Chuvas Intensas,2015/2016,426.4,2015-12-15,12.14,10.22,6.95,74700000,0.0978473581213307,2966.340508806262,23846
2014-07-10,0,0,7170,0.0,Enxurradas,2014/2015,579.7,2014-10-01,85.0,245.78,26.63,74700000,29.17243062901782,,23846
1994-05-30,0,0,0,0.0,Enxurradas,1994/1995,351.2,1994-04-26,3.27,3.78,3.76,74700000,,,23846
1993-11-16,0,0,0,0.0,Enxurradas,1993/1994,288.7,1993-07-05,2.3,2.13,2.37,74700000,,,23846
2023-11-03,0,0,1300,454500.0,Chuvas Intensas,2023/2024,1292.1,2023-11-18,14.5,10.6,11.79,74610000,122.64150943396228,42877.35849056604,23846
2016-02-03,0,0,210,410000.0,Chuvas Intensas,2016/2017,595.5,2016-04-25,1.81,1.5,1.47,74610000,140.0,273333.3333333333,23846
2015-01-22,0,1,1,30316.0,Chuvas Intensas,2015/2016,808.6,2015-01-02,2.23,2.51,2.46,74610000,0.398406374501992,12078.087649402392,23846
2014-07-10,0,0,7170,0.0,Enxurradas,2014/2015,1936.6,2014-09-30,29.0,78.33,120.52,74610000,91.53581003446956,,23846
1994-05-30,0,0,0,0.0,Enxurradas,1994/1995,,,,,,74610000,,,23846
1993-11-16,0,0,0,0.0,Enxurradas,1993/1994,,,,,,74610000,,,23846
