Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2019-03-13,0,0,1670,714038.0,Chuvas Intensas,2019/2020,1281.3,2019-05-31,1.35,1.38,1.35,74270000,1210.144927536232,517418.8405797102,5781
2017-06-06,0,0,2888,717764.0,Chuvas Intensas,2017/2018,2962.6,2017-06-09,6.07,5.3,5.47,74270000,544.9056603773585,135427.16981132075,5781
2015-12-17,0,0,2604,947918.0,Chuvas Intensas,2015/2016,4426.1,2015-12-15,14.17,21.99,26.35,74270000,118.4174624829468,43106.77580718509,5781
2014-07-14,0,0,1500,912920.0,Chuvas Intensas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,61.65228113440197,37522.40032881217,5781
2014-04-16,0,0,2031,570000.0,Chuvas Intensas,2014/2015,4529.0,2014-06-27,17.0,24.33,29.53,74270000,83.47718865598027,23427.86683107275,5781
2011-07-16,0,0,0,498620.0,Enxurradas,2011/2012,3411.7,2011-07-22,9.44,8.14,8.73,74270000,,61255.528255528254,5781
2011-02-23,0,0,0,15000.0,Enxurradas,2011/2012,3411.7,2011-07-22,9.44,8.14,8.73,74270000,,1842.7518427518423,5781
2010-12-12,0,0,0,95319.99,Enxurradas,2010/2011,2622.4,2010-04-27,4.05,3.87,3.9,74270000,,24630.488372093023,5781
1993-10-18,0,0,0,0.0,Inundações,1993/1994,2871.6,1993-07-05,5.31,4.87,4.98,74270000,,,5781
2019-03-13,0,0,1670,714038.0,Chuvas Intensas,2019/2020,11210.7,2019-05-31,1.83,1.79,1.66,74100000,932.9608938547486,398903.91061452514,5781
2017-06-06,0,0,2888,717764.0,Chuvas Intensas,2017/2018,20076.8,2017-05-31,4.12,4.89,5.03,74100000,590.5930470347648,146782.00408997957,5781
2015-12-17,0,0,2604,947918.0,Chuvas Intensas,2015/2016,18588.7,2015-07-15,3.3,4.12,4.07,74100000,632.0388349514562,230077.18446601945,5781
2014-07-14,0,0,1500,912920.0,Chuvas Intensas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,136.986301369863,83371.6894977169,5781
2014-04-16,0,0,2031,570000.0,Chuvas Intensas,2014/2015,27169.6,2014-06-29,11.0,10.95,14.64,74100000,185.4794520547945,52054.79452054795,5781
2011-07-16,0,0,0,498620.0,Enxurradas,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,88095.40636042402,5781
2011-02-23,0,0,0,15000.0,Enxurradas,2011/2012,21334.8,2011-08-31,5.5,5.66,6.04,74100000,,2650.1766784452298,5781
2010-12-12,0,0,0,95319.99,Enxurradas,2010/2011,21617.7,2010-04-27,6.6,5.85,6.29,74100000,,16294.015384615386,5781
1993-10-18,0,0,0,0.0,Inundações,1993/1994,10311.3,1993-06-06,1.69,1.63,1.52,74100000,,,5781
