Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-21,0,0,2127,150000.0,Inundações,2023/2024,,,,,,87270000,,,30159,Sim
2013-11-29,0,0,240,6646905.0,Enxurradas,2013/2014,1147.3,2013-08-26,12.0,12.16,6.09,87270000,19.73684210526316,546620.4769736842,30159,Sim
2013-11-18,0,0,44,0.0,Enxurradas,2013/2014,1147.3,2013-08-26,12.0,12.16,6.09,87270000,3.6184210526315783,,30159,Sim
2013-11-04,0,0,33,0.0,Enxurradas,2013/2014,1147.3,2013-08-26,12.0,12.16,6.09,87270000,2.713815789473684,,30159,Sim
2010-11-30,0,0,0,0.0,Inundações,2010/2011,661.7,2010-07-23,1.33,1.34,1.48,87270000,,,30159,Sim
2009-11-27,0,0,0,0.0,Inundações,2009/2010,1166.9,2009-09-28,20.0,14.21,6.52,87270000,,,30159,Sim
2001-08-07,0,0,0,0.0,Enxurradas,2001/2002,928.9,2001-10-02,3.0,3.12,2.97,87270000,,,30159,Sim
2000-05-26,0,0,0,0.0,Inundações,2000/2001,999.3,2000-10-14,4.29,4.5,3.71,87270000,,,30159,Sim
2023-11-21,0,0,2127,150000.0,Inundações,2023/2024,,,,,,86895000,,,30159,
2013-11-29,0,0,240,6646905.0,Enxurradas,2013/2014,7967.5,2013-08-26,5.0,5.6,4.52,86895000,42.85714285714286,1186947.3214285716,30159,
2013-11-18,0,0,44,0.0,Enxurradas,2013/2014,7967.5,2013-08-26,5.0,5.6,4.52,86895000,7.857142857142858,,30159,
2013-11-04,0,0,33,0.0,Enxurradas,2013/2014,7967.5,2013-08-26,5.0,5.6,4.52,86895000,5.892857142857143,,30159,
2010-11-30,0,0,0,0.0,Inundações,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,,,30159,
2009-11-27,0,0,0,0.0,Inundações,2009/2010,8053.9,2009-09-13,6.25,5.97,4.7,86895000,,,30159,
2001-08-07,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86895000,,,30159,
2000-05-26,0,0,0,0.0,Inundações,2000/2001,,,,,,86895000,,,30159,
2023-11-21,0,0,2127,150000.0,Inundações,2023/2024,6473.2,2023-09-18,26.33,17.7,12.95,85900000,120.16949152542374,8474.57627118644,30159,
2013-11-29,0,0,240,6646905.0,Enxurradas,2013/2014,4798.3,2013-11-16,3.29,3.88,3.91,85900000,61.855670103092784,1713119.8453608248,30159,
2013-11-18,0,0,44,0.0,Enxurradas,2013/2014,4798.3,2013-11-16,3.29,3.88,3.91,85900000,11.34020618556701,,30159,
2013-11-04,0,0,33,0.0,Enxurradas,2013/2014,4798.3,2013-11-16,3.29,3.88,3.91,85900000,8.505154639175258,,30159,
2010-11-30,0,0,0,0.0,Inundações,2010/2011,4912.9,2010-01-11,3.59,4.24,4.22,85900000,,,30159,
2009-11-27,0,0,0,0.0,Inundações,2009/2010,5872.9,2009-11-26,13.17,9.78,8.32,85900000,,,30159,
2001-08-07,0,0,0,0.0,Enxurradas,2001/2002,4162.7,2001-10-06,2.19,2.48,2.61,85900000,,,30159,
2000-05-26,0,0,0,0.0,Inundações,2000/2001,3542.6,2000-09-26,1.68,1.75,1.84,85900000,,,30159,
