Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-19,0,0,20005,300000.0,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,3413.8225255972693,51194.53924914676,24182,
2023-10-03,0,0,20005,0.0,Chuvas Intensas,2023/2024,2967.6,2023-11-19,10.88,5.86,4.61,85400000,3413.8225255972693,,24182,
2010-01-20,0,0,2688,503300.0,Enxurradas,2010/2011,3126.7,2010-01-05,21.75,8.24,5.56,85400000,326.2135922330097,61080.09708737864,24182,
2002-10-21,0,0,0,245100.0,Inundações,2002/2003,2526.1,2002-10-09,2.23,2.75,2.83,85400000,,89127.27272727272,24182,
2023-10-19,0,0,20005,300000.0,Chuvas Intensas,2023/2024,3021.9,2023-10-01,2.26,2.28,2.33,76500000,8774.122807017544,131578.94736842107,24182,
2023-10-03,0,0,20005,0.0,Chuvas Intensas,2023/2024,3021.9,2023-10-01,2.26,2.28,2.33,76500000,8774.122807017544,,24182,
2010-01-20,0,0,2688,503300.0,Enxurradas,2010/2011,3539.7,2010-01-23,3.39,3.38,3.43,76500000,795.2662721893491,148905.32544378698,24182,
2002-10-21,0,0,0,245100.0,Inundações,2002/2003,5475.8,2002-10-14,12.2,21.07,18.54,76500000,,11632.65306122449,24182,
2023-10-19,0,0,20005,300000.0,Chuvas Intensas,2023/2024,,,,,,76085000,,,24182,
2023-10-03,0,0,20005,0.0,Chuvas Intensas,2023/2024,,,,,,76085000,,,24182,
2010-01-20,0,0,2688,503300.0,Enxurradas,2010/2011,1048.4,2010-01-20,6.0,7.44,6.49,76085000,361.2903225806451,67647.84946236559,24182,
2002-10-21,0,0,0,245100.0,Inundações,2002/2003,751.4,2002-07-27,2.82,2.61,2.68,76085000,,93908.0459770115,24182,
2023-10-19,0,0,20005,300000.0,Chuvas Intensas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,355.20241477272725,5326.704545454545,24182,Sim
2023-10-03,0,0,20005,0.0,Chuvas Intensas,2023/2024,31203.6,2023-11-20,32.0,56.32,30.37,75550000,355.20241477272725,,24182,Sim
2010-01-20,0,0,2688,503300.0,Enxurradas,2010/2011,15314.9,2010-04-29,2.46,2.3,2.4,75550000,1168.6956521739132,218826.08695652176,24182,Sim
2002-10-21,0,0,0,245100.0,Inundações,2002/2003,,,,,,75550000,,,24182,Sim
2023-10-19,0,0,20005,300000.0,Chuvas Intensas,2023/2024,682.5,2023-11-18,2.74,2.8,3.0,75295000,7144.642857142858,107142.85714285714,24182,
2023-10-03,0,0,20005,0.0,Chuvas Intensas,2023/2024,682.5,2023-11-18,2.74,2.8,3.0,75295000,7144.642857142858,,24182,
2010-01-20,0,0,2688,503300.0,Enxurradas,2010/2011,585.8,2010-01-21,1.79,1.81,2.02,75295000,1485.0828729281768,278066.29834254144,24182,
2002-10-21,0,0,0,245100.0,Inundações,2002/2003,694.9,2002-10-13,2.89,3.0,3.17,75295000,,81700.0,24182,
