Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2018-10-11,0,0,0,250000.0,Alagamentos,2018/2019,11533.9,2018-10-20,1.3,1.29,1.25,74800000,,193798.44961240308,7730
2017-06-09,0,0,4700,2823000.0,Chuvas Intensas,2017/2018,21325.1,2017-06-02,2.53,3.08,2.87,74800000,1525.9740259740258,916558.4415584416,7730
2016-10-20,0,0,3000,0.0,Chuvas Intensas,2016/2017,8990.0,2016-03-26,1.19,1.11,1.11,74800000,2702.7027027027025,,7730
1992-06-10,0,0,0,0.0,Enxurradas,1992/1993,48658.6,1992-05-31,43.0,37.1,95.03,74800000,,,7730
1992-06-02,0,0,0,0.0,Inundações,1992/1993,48658.6,1992-05-31,43.0,37.1,95.03,74800000,,,7730
2018-10-11,0,0,0,250000.0,Alagamentos,2018/2019,259.6,2018-05-19,1.73,1.75,1.96,74700000,,142857.14285714287,7730
2017-06-09,0,0,4700,2823000.0,Chuvas Intensas,2017/2018,418.2,2017-05-25,8.5,9.01,6.48,74700000,521.6426193118757,313318.5349611543,7730
2016-10-20,0,0,3000,0.0,Chuvas Intensas,2016/2017,335.1,2016-04-26,3.04,3.2,3.32,74700000,937.5,,7730
1992-06-10,0,0,0,0.0,Enxurradas,1992/1993,437.4,1992-05-29,21.25,12.17,7.63,74700000,,,7730
1992-06-02,0,0,0,0.0,Inundações,1992/1993,437.4,1992-05-29,21.25,12.17,7.63,74700000,,,7730
