Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2010-12-18,0,0,0,0.0,Inundações,2010/2011,4691.8,2010-01-13,3.26,3.53,3.61,76800000,,,2306,Sim
2010-01-19,0,0,102,0.0,Chuvas Intensas,2010/2011,4691.8,2010-01-13,3.26,3.53,3.61,76800000,28.89518413597734,,2306,Sim
2009-12-18,0,0,0,73000.0,Inundações,2009/2010,6865.9,2009-11-30,31.0,22.47,15.67,76800000,,3248.776145972408,2306,Sim
2010-12-18,0,0,0,0.0,Inundações,2010/2011,539.3,2010-01-20,2.52,2.48,2.54,76650000,,,2306,
2010-01-19,0,0,102,0.0,Chuvas Intensas,2010/2011,539.3,2010-01-20,2.52,2.48,2.54,76650000,41.12903225806452,,2306,
2009-12-18,0,0,0,73000.0,Inundações,2009/2010,867.4,2009-11-24,8.3,10.79,10.28,76650000,,6765.523632993513,2306,
2010-12-18,0,0,0,0.0,Inundações,2010/2011,16686.3,2010-04-30,2.73,2.47,2.63,75780000,,,2306,
2010-01-19,0,0,102,0.0,Chuvas Intensas,2010/2011,16686.3,2010-04-30,2.73,2.47,2.63,75780000,41.29554655870445,,2306,
2009-12-18,0,0,0,73000.0,Inundações,2009/2010,15554.4,2009-11-27,2.0,2.11,2.27,75780000,,34597.15639810427,2306,
2010-12-18,0,0,0,0.0,Inundações,2010/2011,1218.9,2010-01-21,1.66,1.68,1.85,75700000,,,2306,
2010-01-19,0,0,102,0.0,Chuvas Intensas,2010/2011,1218.9,2010-01-21,1.66,1.68,1.85,75700000,60.71428571428572,,2306,
2009-12-18,0,0,0,73000.0,Inundações,2009/2010,1935.8,2009-11-23,22.67,11.92,6.9,75700000,,6124.161073825503,2306,
