Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-10-20,0,0,1145,1802700.0,Inundações,2023/2024,26138.0,2023-11-26,7.33,10.74,8.24,77150000,106.61080074487896,167849.16201117318,126766,Sim
2021-09-09,0,0,0,0.0,Chuvas Intensas,2021/2022,9453.9,2021-10-20,1.05,1.09,1.08,77150000,,,126766,Sim
2017-05-31,0,0,24333,7825000.0,Inundações,2017/2018,27356.6,2017-06-13,8.8,14.6,10.11,77150000,1666.6438356164383,535958.904109589,126766,Sim
2016-05-17,0,0,9300,1386000.0,Chuvas Intensas,2016/2017,21896.2,2016-01-01,4.89,4.22,4.15,77150000,2203.791469194313,328436.018957346,126766,Sim
2015-12-23,0,0,6065,10194450.0,Inundações,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,217.22779369627503,365130.7306590258,126766,Sim
2015-11-18,0,0,823,0.0,Inundações,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,29.477077363896846,,126766,Sim
2015-10-15,0,0,1010,91424.0,Inundações,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,36.17478510028653,3274.4985673352435,126766,Sim
2015-07-30,0,0,971,79723.0,Inundações,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,34.777936962750715,2855.408309455587,126766,Sim
2015-01-14,0,0,129504,29784977.0,Enxurradas,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,4638.395415472779,1066797.1704871058,126766,Sim
2014-10-09,0,0,1410,0.0,Inundações,2014/2015,24046.5,2014-07-06,5.5,6.6,5.83,77150000,213.63636363636363,,126766,Sim
2014-07-14,0,0,6112,9296490.1,Inundações,2014/2015,24046.5,2014-07-06,5.5,6.6,5.83,77150000,926.060606060606,1408559.1060606062,126766,Sim
2010-11-26,0,0,0,0.0,Inundações,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,126766,Sim
2009-11-25,0,0,4978,3273000.0,Inundações,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,1202.415458937198,790579.7101449276,126766,Sim
2002-10-11,0,0,460,230200.0,Inundações,2002/2003,21561.4,2002-10-17,3.67,3.96,3.94,77150000,116.16161616161617,58131.31313131313,126766,Sim
1997-10-20,0,0,0,0.0,Enxurradas,1997/1998,28038.3,1997-10-22,14.67,17.45,11.36,77150000,,,126766,Sim
2023-10-20,0,0,1145,1802700.0,Inundações,2023/2024,26138.0,2023-11-26,7.33,10.74,8.24,77150000,106.61080074487896,167849.16201117318,126766,Sim
2021-09-09,0,0,0,0.0,Chuvas Intensas,2021/2022,9453.9,2021-10-20,1.05,1.09,1.08,77150000,,,126766,Sim
2017-05-31,0,0,24333,7825000.0,Inundações,2017/2018,27356.6,2017-06-13,8.8,14.6,10.11,77150000,1666.6438356164383,535958.904109589,126766,Sim
2016-05-17,0,0,9300,1386000.0,Chuvas Intensas,2016/2017,21896.2,2016-01-01,4.89,4.22,4.15,77150000,2203.791469194313,328436.018957346,126766,Sim
2015-12-23,0,0,6065,10194450.0,Inundações,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,217.22779369627503,365130.7306590258,126766,Sim
2015-11-18,0,0,823,0.0,Inundações,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,29.477077363896846,,126766,Sim
2015-10-15,0,0,1010,91424.0,Inundações,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,36.17478510028653,3274.4985673352435,126766,Sim
2015-07-30,0,0,971,79723.0,Inundações,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,34.777936962750715,2855.408309455587,126766,Sim
2015-01-14,0,0,129504,29784977.0,Enxurradas,2015/2016,29750.4,2015-07-20,22.0,27.92,15.24,77150000,4638.395415472779,1066797.1704871058,126766,Sim
2014-10-09,0,0,1410,0.0,Inundações,2014/2015,24046.5,2014-07-06,5.5,6.6,5.83,77150000,213.63636363636363,,126766,Sim
2014-07-14,0,0,6112,9296490.1,Inundações,2014/2015,24046.5,2014-07-06,5.5,6.6,5.83,77150000,926.060606060606,1408559.1060606062,126766,Sim
2010-11-26,0,0,0,0.0,Inundações,2010/2011,14480.7,2010-05-03,1.63,1.47,1.55,77150000,,,126766,Sim
2009-11-25,0,0,4978,3273000.0,Inundações,2009/2010,21795.6,2009-12-01,4.4,4.14,4.08,77150000,1202.415458937198,790579.7101449276,126766,Sim
2002-10-11,0,0,460,230200.0,Inundações,2002/2003,21561.4,2002-10-17,3.67,3.96,3.94,77150000,116.16161616161617,58131.31313131313,126766,Sim
1997-10-20,0,0,0,0.0,Enxurradas,1997/1998,28038.3,1997-10-22,14.67,17.45,11.36,77150000,,,126766,Sim
