Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2015-07-16,0,0,250,210328.0,Alagamentos,2015/2016,315.5,2015-10-09,2.7,2.9,2.95,70500000,86.20689655172414,72526.89655172414,66916,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,531.8,2001-10-01,20.25,20.53,17.76,70500000,,,66916,
2015-07-16,0,0,250,210328.0,Alagamentos,2015/2016,962.3,2015-07-14,2.68,2.59,2.4,70300000,96.52509652509652,81207.72200772201,66916,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1108.9,2001-10-01,3.95,3.26,3.1,70300000,,,66916,
2015-07-16,0,0,250,210328.0,Alagamentos,2015/2016,1368.5,2015-10-22,3.1,3.2,3.18,70200000,78.125,65727.5,66916,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,2726.5,2001-10-01,62.0,46.17,60.84,70200000,,,66916,
2015-07-16,0,0,250,210328.0,Alagamentos,2015/2016,7237.2,2015-10-09,3.19,3.62,3.69,86510000,69.06077348066299,58101.65745856353,66916,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,12763.4,2001-10-01,86.0,43.68,32.69,86510000,,,66916,
2015-07-16,0,0,250,210328.0,Alagamentos,2015/2016,1413.1,2015-10-09,4.6,4.82,4.97,86410000,51.86721991701245,43636.51452282158,66916,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1880.0,2001-07-20,8.62,11.54,13.11,86410000,,,66916,Sim
2015-07-16,0,0,250,210328.0,Alagamentos,2015/2016,18588.7,2015-07-15,3.3,4.12,4.07,74100000,60.67961165048544,51050.4854368932,66916,
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,14571.9,2001-10-02,2.75,2.59,2.4,74100000,,,66916,
