Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-11-18,0,0,6046,2306949.4,Enxurradas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,22.093915585602048,8430.291978805044,6046,Sim
2023-06-16,0,0,6046,1914890.0,Enxurradas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,22.093915585602048,6997.58816005847,6046,Sim
2019-05-04,0,0,61,0.0,Chuvas Intensas,2019/2020,873.5,2019-11-05,4.42,4.54,4.55,87160000,13.43612334801762,,6046,Sim
2017-08-24,0,0,206,65000.0,Movimento de Massa,2017/2018,725.7,2017-06-08,2.33,2.86,2.91,87160000,72.02797202797203,22727.272727272728,6046,Sim
2016-10-17,0,2,77,120200.0,Chuvas Intensas,2016/2017,802.4,2016-10-17,3.36,3.61,3.65,87160000,21.32963988919668,33296.39889196676,6046,Sim
2000-12-25,0,0,0,0.0,Enxurradas,2000/2001,432.3,2000-10-14,1.42,1.42,1.43,87160000,,,6046,Sim
2023-11-18,0,0,6046,2306949.4,Enxurradas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,22.093915585602048,8430.291978805044,6046,Sim
2023-06-16,0,0,6046,1914890.0,Enxurradas,2023/2024,1920.2,2023-11-18,84.0,273.65,170.97,87160000,22.093915585602048,6997.58816005847,6046,Sim
2019-05-04,0,0,61,0.0,Chuvas Intensas,2019/2020,873.5,2019-11-05,4.42,4.54,4.55,87160000,13.43612334801762,,6046,Sim
2017-08-24,0,0,206,65000.0,Movimento de Massa,2017/2018,725.7,2017-06-08,2.33,2.86,2.91,87160000,72.02797202797203,22727.272727272728,6046,Sim
2016-10-17,0,2,77,120200.0,Chuvas Intensas,2016/2017,802.4,2016-10-17,3.36,3.61,3.65,87160000,21.32963988919668,33296.39889196676,6046,Sim
2000-12-25,0,0,0,0.0,Enxurradas,2000/2001,432.3,2000-10-14,1.42,1.42,1.43,87160000,,,6046,Sim
