Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-03,0,0,2004,0.0,Chuvas Intensas,2023/2024,9303.2,2023-11-18,7.17,8.46,8.05,86510000,236.87943262411343,,2130,
2018-11-30,0,1,1493,1735500.0,Enxurradas,2018/2019,3074.0,2018-10-04,1.23,1.19,1.2,86510000,1254.6218487394958,1458403.361344538,2130,
2014-07-10,0,0,1052,62800.0,Enxurradas,2014/2015,5497.2,2014-06-06,2.1,2.02,2.08,86510000,520.7920792079208,31089.10891089109,2130,
2011-02-11,0,0,0,0.0,Enxurradas,2011/2012,12547.5,2011-07-21,43.0,39.22,29.9,86510000,,,2130,
2010-12-08,0,0,0,0.0,Enxurradas,2010/2011,5326.6,2010-09-23,1.95,1.92,1.98,86510000,,,2130,
2009-12-07,0,0,0,0.0,Enxurradas,2009/2010,9484.2,2009-09-12,7.82,9.17,8.64,86510000,,,2130,
2000-01-18,0,0,0,0.0,Enxurradas,2000/2001,7898.3,2000-10-13,4.3,4.68,4.7,86510000,,,2130,
1999-12-14,0,0,0,0.0,Enxurradas,1999/2000,2309.5,1999-07-21,1.13,1.09,1.09,86510000,,,2130,
2023-09-03,0,0,2004,0.0,Chuvas Intensas,2023/2024,966.1,2023-11-18,14.0,18.18,12.13,86480000,110.23102310231025,,2130,Sim
2018-11-30,0,1,1493,1735500.0,Enxurradas,2018/2019,258.3,2018-11-30,1.13,1.12,1.12,86480000,1333.0357142857142,1549553.5714285714,2130,Sim
2014-07-10,0,0,1052,62800.0,Enxurradas,2014/2015,628.6,2014-09-29,2.92,2.87,3.01,86480000,366.5505226480836,21881.533101045294,2130,Sim
2011-02-11,0,0,0,0.0,Enxurradas,2011/2012,826.1,2011-07-21,7.0,7.63,6.63,86480000,,,2130,Sim
2010-12-08,0,0,0,0.0,Enxurradas,2010/2011,760.7,2010-09-22,4.12,5.33,5.05,86480000,,,2130,Sim
2009-12-07,0,0,0,0.0,Enxurradas,2009/2010,527.0,2009-09-28,2.06,1.97,2.11,86480000,,,2130,Sim
2000-01-18,0,0,0,0.0,Enxurradas,2000/2001,824.0,2000-10-13,5.83,7.54,6.58,86480000,,,2130,Sim
1999-12-14,0,0,0,0.0,Enxurradas,1999/2000,462.0,1999-12-14,1.63,1.62,1.73,86480000,,,2130,Sim
