Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População,Selected
2023-09-04,0,5,2785,0.0,Chuvas Intensas,2023/2024,,,,,,86895000,,,72373,Sim
2023-06-16,0,0,722,0.0,Enxurradas,2023/2024,,,,,,86895000,,,72373,Sim
2022-12-02,1,2,105,239098.4,Chuvas Intensas,2022/2023,,,,,,86895000,,,72373,Sim
2020-07-28,0,0,1744,179819.31,Inundações,2020/2021,,,,,,86895000,,,72373,Sim
2017-06-12,0,0,759,46154.0,Enxurradas,2017/2018,,,,,,86895000,,,72373,Sim
2017-03-12,0,0,0,231588.0,Enxurradas,2017/2018,,,,,,86895000,,,72373,Sim
2015-10-14,0,1,2013,2660333.0,Inundações,2015/2016,,,,,,86895000,,,72373,Sim
2014-07-29,0,0,12000,8174000.0,Enxurradas,2014/2015,6450.5,2014-10-20,2.0,2.28,2.46,86895000,5263.1578947368425,3585087.719298246,72373,Sim
2013-11-20,0,0,2000,0.0,Inundações,2013/2014,7967.5,2013-08-26,5.0,5.6,4.52,86895000,357.1428571428572,,72373,Sim
2013-11-19,0,0,2028,334916.0,Inundações,2013/2014,7967.5,2013-08-26,5.0,5.6,4.52,86895000,362.1428571428572,59806.42857142857,72373,Sim
2010-01-04,0,0,4661,3082750.0,Inundações,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,1019.9124726477024,674562.363238512,72373,Sim
2009-09-13,0,0,564,0.0,Inundações,2009/2010,8053.9,2009-09-13,6.25,5.97,4.7,86895000,94.47236180904522,,72373,Sim
2008-10-27,0,0,230,0.0,Inundações,2008/2009,8579.9,2008-10-27,12.5,9.12,5.91,86895000,25.21929824561404,,72373,Sim
2003-07-08,1,2,2606,0.0,Inundações,2003/2004,6503.4,2003-02-21,2.17,2.34,2.51,86895000,1113.675213675214,,72373,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86895000,,,72373,Sim
2023-09-04,0,5,2785,0.0,Chuvas Intensas,2023/2024,,,,,,86895000,,,72373,Sim
2023-06-16,0,0,722,0.0,Enxurradas,2023/2024,,,,,,86895000,,,72373,Sim
2022-12-02,1,2,105,239098.4,Chuvas Intensas,2022/2023,,,,,,86895000,,,72373,Sim
2020-07-28,0,0,1744,179819.31,Inundações,2020/2021,,,,,,86895000,,,72373,Sim
2017-06-12,0,0,759,46154.0,Enxurradas,2017/2018,,,,,,86895000,,,72373,Sim
2017-03-12,0,0,0,231588.0,Enxurradas,2017/2018,,,,,,86895000,,,72373,Sim
2015-10-14,0,1,2013,2660333.0,Inundações,2015/2016,,,,,,86895000,,,72373,Sim
2014-07-29,0,0,12000,8174000.0,Enxurradas,2014/2015,6450.5,2014-10-20,2.0,2.28,2.46,86895000,5263.1578947368425,3585087.719298246,72373,Sim
2013-11-20,0,0,2000,0.0,Inundações,2013/2014,7967.5,2013-08-26,5.0,5.6,4.52,86895000,357.1428571428572,,72373,Sim
2013-11-19,0,0,2028,334916.0,Inundações,2013/2014,7967.5,2013-08-26,5.0,5.6,4.52,86895000,362.1428571428572,59806.42857142857,72373,Sim
2010-01-04,0,0,4661,3082750.0,Inundações,2010/2011,7682.2,2010-01-05,3.57,4.57,4.01,86895000,1019.9124726477024,674562.363238512,72373,Sim
2009-09-13,0,0,564,0.0,Inundações,2009/2010,8053.9,2009-09-13,6.25,5.97,4.7,86895000,94.47236180904522,,72373,Sim
2008-10-27,0,0,230,0.0,Inundações,2008/2009,8579.9,2008-10-27,12.5,9.12,5.91,86895000,25.21929824561404,,72373,Sim
2003-07-08,1,2,2606,0.0,Inundações,2003/2004,6503.4,2003-02-21,2.17,2.34,2.51,86895000,1113.675213675214,,72373,Sim
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86895000,,,72373,Sim
