Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2021-02-06,0,3,348,213073.6,Enxurradas,2021/2022,222.5,2021-09-08,8.0,9.86,4.12,85830000,35.294117647058826,21609.898580121702,27325
2014-07-08,0,0,9016,1922000.0,Enxurradas,2014/2015,175.1,2014-06-29,4.8,2.32,2.23,85830000,3886.206896551724,828448.275862069,27325
2010-11-26,0,0,0,0.0,Inundações,2010/2011,174.8,2010-01-05,4.36,2.3,2.22,85830000,,,27325
2010-01-05,0,0,0,0.0,Inundações,2010/2011,174.8,2010-01-05,4.36,2.3,2.22,85830000,,,27325
2009-11-26,0,0,0,4128000.0,Inundações,2009/2010,171.7,2009-08-09,3.2,2.16,2.14,85830000,,1911111.111111111,27325
2009-05-26,0,0,0,0.0,Inundações,2009/2010,171.7,2009-08-09,3.2,2.16,2.14,85830000,,,27325
2002-10-24,0,0,0,0.0,Enxurradas,2002/2003,169.2,2002-06-10,2.67,2.06,2.08,85830000,,,27325
2002-02-08,0,0,0,0.0,Enxurradas,2002/2003,169.2,2002-06-10,2.67,2.06,2.08,85830000,,,27325
2021-02-06,0,3,348,213073.6,Enxurradas,2021/2022,3562.2,2021-09-16,1.76,1.77,1.86,85900000,196.61016949152545,120380.56497175142,27325
2014-07-08,0,0,9016,1922000.0,Enxurradas,2014/2015,4096.0,2014-07-05,2.14,2.38,2.5,85900000,3788.2352941176473,807563.025210084,27325
2010-11-26,0,0,0,0.0,Inundações,2010/2011,4912.9,2010-01-11,3.59,4.24,4.22,85900000,,,27325
2010-01-05,0,0,0,0.0,Inundações,2010/2011,4912.9,2010-01-11,3.59,4.24,4.22,85900000,,,27325
2009-11-26,0,0,0,4128000.0,Inundações,2009/2010,5872.9,2009-11-26,13.17,9.78,8.32,85900000,,422085.88957055216,27325
2009-05-26,0,0,0,0.0,Inundações,2009/2010,5872.9,2009-11-26,13.17,9.78,8.32,85900000,,,27325
2002-10-24,0,0,0,0.0,Enxurradas,2002/2003,5488.8,2002-10-14,7.9,6.87,6.31,85900000,,,27325
2002-02-08,0,0,0,0.0,Enxurradas,2002/2003,5488.8,2002-10-14,7.9,6.87,6.31,85900000,,,27325
2021-02-06,0,3,348,213073.6,Enxurradas,2021/2022,222.5,2021-09-08,8.0,9.86,4.12,85830000,35.294117647058826,21609.898580121702,27325
2014-07-08,0,0,9016,1922000.0,Enxurradas,2014/2015,175.1,2014-06-29,4.8,2.32,2.23,85830000,3886.206896551724,828448.275862069,27325
2010-11-26,0,0,0,0.0,Inundações,2010/2011,174.8,2010-01-05,4.36,2.3,2.22,85830000,,,27325
2010-01-05,0,0,0,0.0,Inundações,2010/2011,174.8,2010-01-05,4.36,2.3,2.22,85830000,,,27325
2009-11-26,0,0,0,4128000.0,Inundações,2009/2010,171.7,2009-08-09,3.2,2.16,2.14,85830000,,1911111.111111111,27325
2009-05-26,0,0,0,0.0,Inundações,2009/2010,171.7,2009-08-09,3.2,2.16,2.14,85830000,,,27325
2002-10-24,0,0,0,0.0,Enxurradas,2002/2003,169.2,2002-06-10,2.67,2.06,2.08,85830000,,,27325
2002-02-08,0,0,0,0.0,Enxurradas,2002/2003,169.2,2002-06-10,2.67,2.06,2.08,85830000,,,27325
