Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-06-26,0,0,130200,1240000.0,Chuvas Intensas,2023/2024,32.8,2023-06-16,4.36,3.87,3.8,87450100,33643.410852713176,320413.4366925064,257330
2020-07-17,0,0,0,0.0,Chuvas Intensas,2020/2021,,,,,,87450100,,,257330
2019-10-18,0,1,1,0.0,Enxurradas,2019/2020,,,,,,87450100,,,257330
2019-05-28,0,0,0,0.0,Enxurradas,2019/2020,,,,,,87450100,,,257330
2019-05-06,0,0,0,0.0,Enxurradas,2019/2020,,,,,,87450100,,,257330
2019-04-27,0,0,20,0.0,Enxurradas,2019/2020,,,,,,87450100,,,257330
2018-07-18,0,0,0,0.0,Enxurradas,2018/2019,4.6,2018-05-22,1.04,1.02,1.04,87450100,,,257330
2017-12-07,0,0,0,0.0,Chuvas Intensas,2017/2018,4.5,2017-08-20,1.02,1.02,1.04,87450100,,,257330
2017-01-12,0,0,724,1577652.0,Chuvas Intensas,2017/2018,4.5,2017-08-20,1.02,1.02,1.04,87450100,709.8039215686274,1546717.6470588236,257330
2002-05-20,0,29,1188,0.0,Inundações,2002/2003,48.4,2002-06-07,12.0,10.11,12.69,87450100,117.50741839762613,,257330
1999-06-09,0,0,0,0.0,Enxurradas,1999/2000,4.8,1999-01-29,1.07,1.02,1.04,87450100,,,257330
2023-06-26,0,0,130200,1240000.0,Chuvas Intensas,2023/2024,42.1,2023-06-16,27.0,38.91,33.43,87398800,3346.1835003855053,31868.414289385764,257330
2020-07-17,0,0,0,0.0,Chuvas Intensas,2020/2021,31.2,2020-07-08,9.0,9.05,8.79,87398800,,,257330
2019-10-18,0,1,1,0.0,Enxurradas,2019/2020,24.6,2019-05-28,3.38,4.08,4.12,87398800,0.2450980392156862,,257330
2019-05-28,0,0,0,0.0,Enxurradas,2019/2020,24.6,2019-05-28,3.38,4.08,4.12,87398800,,,257330
2019-05-06,0,0,0,0.0,Enxurradas,2019/2020,24.6,2019-05-28,3.38,4.08,4.12,87398800,,,257330
2019-04-27,0,0,20,0.0,Enxurradas,2019/2020,24.6,2019-05-28,3.38,4.08,4.12,87398800,4.901960784313726,,257330
2018-07-18,0,0,0,0.0,Enxurradas,2018/2019,21.9,2018-09-02,2.7,3.04,3.08,87398800,,,257330
2017-12-07,0,0,0,0.0,Chuvas Intensas,2017/2018,27.4,2017-09-16,5.4,5.65,5.64,87398800,,,257330
2017-01-12,0,0,724,1577652.0,Chuvas Intensas,2017/2018,27.4,2017-09-16,5.4,5.65,5.64,87398800,128.141592920354,279230.4424778761,257330
2002-05-20,0,29,1188,0.0,Inundações,2002/2003,8.7,2002-10-04,1.17,1.14,1.14,87398800,1042.1052631578948,,257330
1999-06-09,0,0,0,0.0,Enxurradas,1999/2000,,,,,,87398800,,,257330
2023-06-26,0,0,130200,1240000.0,Chuvas Intensas,2023/2024,32.8,2023-06-16,4.36,3.87,3.8,87450100,33643.410852713176,320413.4366925064,257330
2020-07-17,0,0,0,0.0,Chuvas Intensas,2020/2021,,,,,,87450100,,,257330
2019-10-18,0,1,1,0.0,Enxurradas,2019/2020,,,,,,87450100,,,257330
2019-05-28,0,0,0,0.0,Enxurradas,2019/2020,,,,,,87450100,,,257330
