Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-11-18,0,0,4221,526000.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,308.32724616508403,38422.20598977356,4368
2023-09-04,0,1,4413,1516720.0,Chuvas Intensas,2023/2024,12675.8,2023-11-19,11.5,13.69,14.07,86720000,322.35208181154127,110790.35792549308,4368
2017-06-08,0,0,1957,302300.0,Enxurradas,2017/2018,5706.1,2017-06-08,1.77,1.73,1.72,86720000,1131.21387283237,174739.88439306358,4368
2016-10-19,0,0,2443,9732000.0,Enxurradas,2016/2017,10429.0,2016-10-20,4.6,6.52,6.64,86720000,374.6932515337424,1492638.036809816,4368
2014-07-07,0,0,2,1966500.0,Enxurradas,2014/2015,6011.1,2014-10-19,1.86,1.85,1.85,86720000,1.081081081081081,1062972.972972973,4368
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,,,,,,86720000,,,4368
2023-11-18,0,0,4221,526000.0,Chuvas Intensas,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,1546.1538461538462,192673.99267399267,4368
2023-09-04,0,1,4413,1516720.0,Chuvas Intensas,2023/2024,832.5,2023-07-13,2.87,2.73,2.86,86560000,1616.4835164835165,555575.0915750916,4368
2017-06-08,0,0,1957,302300.0,Enxurradas,2017/2018,1252.0,2017-06-08,10.75,13.46,10.83,86560000,145.39375928677563,22459.1381872214,4368
2016-10-19,0,0,2443,9732000.0,Enxurradas,2016/2017,1183.3,2016-10-20,6.62,9.97,8.6,86560000,245.03510531594785,976128.3851554664,4368
2014-07-07,0,0,2,1966500.0,Enxurradas,2014/2015,776.8,2014-10-19,2.26,2.33,2.45,86560000,0.8583690987124464,843991.4163090128,4368
2001-07-20,0,0,0,0.0,Enxurradas,2001/2002,1283.4,2001-10-01,14.33,15.5,12.05,86560000,,,4368
