Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2022-07-22,0,0,480,786000.0,Enxurradas,2022/2023,2460.0,2022-07-19,1.5,1.69,1.87,85642000,284.02366863905326,465088.75739644974,4274
2017-06-22,0,0,800,1100000.0,Chuvas Intensas,2017/2018,3459.4,2017-06-01,9.0,8.86,5.48,85642000,90.29345372460496,124153.49887133185,4274
2010-01-18,0,0,0,0.0,Inundações,2010/2011,2926.0,2010-01-08,3.21,3.04,2.97,85642000,,,4274
2009-11-30,0,0,0,845000.0,Inundações,2009/2010,3127.3,2009-11-25,7.5,4.31,3.72,85642000,,196055.6844547564,4274
1993-10-01,0,0,0,0.0,Inundações,1993/1994,2680.9,1993-06-07,1.8,2.15,2.31,85642000,,,4274
2022-07-22,0,0,480,786000.0,Enxurradas,2022/2023,608.3,2022-07-22,1.52,1.43,1.46,85600000,335.6643356643357,549650.3496503497,4274
2017-06-22,0,0,800,1100000.0,Chuvas Intensas,2017/2018,804.5,2017-08-16,1.7,2.05,2.13,85600000,390.2439024390244,536585.3658536585,4274
2010-01-18,0,0,0,0.0,Inundações,2010/2011,908.3,2010-01-22,2.43,2.61,2.71,85600000,,,4274
2009-11-30,0,0,0,845000.0,Inundações,2009/2010,1301.6,2009-11-24,10.62,8.39,7.73,85600000,,100715.13706793802,4274
1993-10-01,0,0,0,0.0,Inundações,1993/1994,807.6,1993-06-08,1.73,2.06,2.15,85600000,,,4274
