Data Evento,Óbitos,Feridos,Danos Humanos,Danos Materiais,Tipologia,Ano Hidro,Vazao,Data Máxima,TR Empirico,TR lognorm,TR gumbel_r,Código,Risk_Danos Humanos,Risk_Danos Materiais,População
2023-10-25,0,0,2660,588857.8,Chuvas Intensas,2023/2024,23977.7,2023-11-18,8.5,2.92,13.58,74500000,910.9589041095892,201663.63013698632,2726
2017-06-09,0,0,1647,100107.0,Enxurradas,2017/2018,18065.9,2017-06-01,4.25,2.78,4.71,74500000,592.4460431654677,36009.71223021583,2726
2014-07-03,0,0,2832,285000.0,Enxurradas,2014/2015,34358.9,2014-06-28,17.0,3.09,96.75,74500000,916.504854368932,92233.00970873788,2726
2011-06-22,0,0,0,0.0,Enxurradas,2011/2012,,,,,,74500000,,,2726
2010-11-24,0,0,0,0.0,Enxurradas,2010/2011,,,,,,74500000,,,2726
2009-11-24,0,0,0,0.0,Enxurradas,2009/2010,,,,,,74500000,,,2726
2023-10-25,0,0,2660,588857.8,Chuvas Intensas,2023/2024,680.5,2023-11-17,3.44,3.71,3.77,74370000,716.9811320754717,158721.77897574127,2726
2017-06-09,0,0,1647,100107.0,Enxurradas,2017/2018,896.5,2017-06-08,6.89,11.78,11.19,74370000,139.81324278438032,8498.04753820034,2726
2014-07-03,0,0,2832,285000.0,Enxurradas,2014/2015,1159.6,2014-06-25,62.0,57.34,46.0,74370000,49.38960585978374,4970.352284618068,2726
2011-06-22,0,0,0,0.0,Enxurradas,2011/2012,850.7,2011-06-23,6.2,9.08,8.81,74370000,,,2726
2010-11-24,0,0,0,0.0,Enxurradas,2010/2011,678.1,2010-05-18,3.1,3.67,3.73,74370000,,,2726
2009-11-24,0,0,0,0.0,Enxurradas,2009/2010,641.5,2009-11-22,2.7,3.09,3.15,74370000,,,2726
